Дата,Сотрудник,Частота сообщения,Объем сообщения,Настрой сообщения,Регулярность коммитов,Интенсивность коммитов,Статус задачи,Приоритетные изменения,Продолжительность активности,Активность ночью
2023-04-15,Андрей,51,28,1,1,1,-1,2,8,0
2023-04-16,Андрей,62,15,-1,3,4,1,0,8,0
2023-04-17,Андрей,79,22,1,2,3,1,2,8,0
2023-04-18,Андрей,58,23,1,4,4,0,2,11,0
2023-04-19,Андрей,69,22,1,3,1,1,0,9,0
2023-04-20,Андрей,57,25,0,2,3,0,1,6,0
2023-04-21,Андрей,75,26,1,1,1,0,1,7,0
2023-04-22,Андрей,50,21,-1,4,3,0,0,7,0
2023-04-23,Андрей,50,12,1,3,5,0,2,4,0
2023-04-24,Андрей,58,21,0,4,1,1,1,10,0
2023-04-25,Андрей,71,22,0,2,1,0,2,8,0
2023-04-26,Андрей,64,26,1,2,2,0,1,6,0
2023-04-27,Андрей,58,25,1,2,4,1,1,9,0
2023-04-28,Андрей,51,28,1,4,6,1,0,4,0
2023-04-29,Андрей,55,11,1,3,6,1,1,6,0
2023-04-30,Андрей,74,13,-1,2,1,1,1,8,0
2023-05-01,Андрей,62,19,1,1,1,1,0,5,1
2023-05-02,Андрей,76,12,1,2,3,1,0,10,0
2023-05-03,Андрей,70,29,1,2,2,1,0,8,0
2023-05-04,Андрей,79,11,1,4,4,1,2,9,0
2023-05-05,Андрей,56,27,1,1,2,1,1,8,0
2023-05-06,Андрей,72,17,1,4,4,1,1,9,0
2023-05-07,Андрей,57,20,-1,1,1,1,0,8,0
2023-05-08,Андрей,59,24,0,4,7,1,1,4,0
2023-05-09,Андрей,59,25,1,3,3,1,1,8,0
2023-05-10,Андрей,67,27,1,3,4,1,2,8,1
2023-05-11,Андрей,68,10,1,2,1,0,2,7,0
2023-05-12,Андрей,51,20,0,3,3,1,2,4,0
2023-05-13,Андрей,63,12,1,1,4,1,0,7,0
2023-05-14,Андрей,66,29,1,1,2,1,1,9,0
2023-05-15,Андрей,70,25,0,1,1,1,2,10,0
2023-05-16,Андрей,67,29,1,2,3,1,2,7,0
2023-05-17,Андрей,63,21,1,3,3,1,0,7,0
2023-05-18,Андрей,68,28,1,4,3,1,1,10,0
2023-05-19,Андрей,67,20,1,3,3,1,1,10,1
2023-05-20,Андрей,74,10,1,3,1,1,1,7,0
2023-05-21,Андрей,53,18,0,4,7,1,2,10,0
2023-05-22,Андрей,56,11,1,1,1,1,1,10,0
2023-05-23,Андрей,76,23,1,1,1,1,1,8,0
2023-05-24,Андрей,59,21,1,3,2,-1,0,7,0
2023-05-25,Андрей,62,27,1,4,3,0,2,9,0
2023-05-26,Андрей,72,10,0,1,1,1,0,9,0
2023-05-27,Андрей,58,13,1,2,5,0,2,9,1
2023-05-28,Андрей,76,15,1,1,1,1,1,6,0
2023-05-29,Андрей,74,24,1,1,3,1,2,10,1
2023-05-30,Андрей,56,25,1,1,3,1,1,8,0
2023-05-31,Андрей,70,22,-1,1,1,1,0,4,0
2023-06-01,Андрей,59,29,1,2,5,1,2,6,0
2023-06-02,Андрей,68,15,1,1,1,1,0,7,0
2023-06-03,Андрей,75,15,0,1,2,1,2,8,0
2023-06-04,Андрей,61,18,1,2,1,0,1,8,0
2023-06-05,Андрей,68,24,1,3,5,0,0,8,0
2023-06-06,Андрей,79,12,0,1,1,1,1,9,0
2023-06-07,Андрей,50,23,-1,3,1,1,2,9,0
2023-06-08,Андрей,75,12,1,3,1,1,1,5,0
2023-06-09,Андрей,51,11,0,4,7,1,1,7,0
2023-06-10,Андрей,60,26,1,2,1,0,1,5,0
2023-06-11,Андрей,61,29,1,2,3,1,0,7,0
2023-06-12,Андрей,52,15,0,4,1,1,2,6,0
2023-06-13,Андрей,78,22,0,4,6,1,1,6,1
2023-06-14,Андрей,71,13,1,2,3,-1,2,7,0
2023-06-15,Андрей,53,28,1,1,2,0,1,8,0
2023-06-16,Андрей,65,10,1,2,1,1,2,7,0
2023-06-17,Андрей,53,17,1,3,1,1,0,6,0
2023-06-18,Андрей,77,29,1,2,2,1,2,4,0
2023-06-19,Андрей,69,28,0,4,7,1,0,3,1
2023-06-20,Андрей,72,22,1,1,1,-1,2,9,0
2023-06-21,Андрей,68,22,-1,1,1,1,1,8,0
2023-06-22,Андрей,62,13,1,4,3,1,0,9,0
2023-06-23,Андрей,76,12,0,4,3,1,1,12,0
2023-06-24,Андрей,53,14,1,3,4,1,0,9,0
2023-06-25,Андрей,68,28,1,3,4,1,1,10,0
2023-06-26,Андрей,60,24,1,1,1,1,0,6,0
2023-06-27,Андрей,64,23,1,2,1,1,0,8,0
2023-06-28,Андрей,53,16,0,4,1,1,2,5,0
2023-06-29,Андрей,58,28,1,2,1,1,1,9,0
2023-06-30,Андрей,60,27,0,1,1,1,1,7,0
2023-07-01,Андрей,70,24,-1,2,1,1,2,8,0
2023-07-02,Андрей,59,10,0,4,4,1,0,5,0
2023-07-03,Андрей,54,20,-1,3,2,0,1,6,0
2023-07-04,Андрей,64,10,0,3,3,-1,2,10,0
2023-07-05,Андрей,59,10,1,2,3,0,1,6,0
2023-07-06,Андрей,51,21,1,3,2,1,2,10,1
2023-07-07,Андрей,73,11,1,1,1,1,1,6,0
2023-07-08,Андрей,52,26,1,1,1,0,0,7,0
2023-07-09,Андрей,60,25,1,3,1,1,2,7,0
2023-07-10,Андрей,68,20,0,4,3,1,1,9,0
2023-07-11,Андрей,67,15,-1,3,3,1,1,7,0
2023-07-12,Андрей,75,13,0,3,6,0,2,7,0
2023-07-13,Андрей,51,22,1,4,5,-1,1,11,0
2023-07-14,Андрей,64,17,1,1,2,1,2,8,0
2023-07-15,Андрей,68,12,1,4,4,0,0,6,0
2023-07-16,Андрей,63,26,1,4,6,1,1,7,0
2023-07-17,Андрей,69,15,1,3,4,0,0,8,0
2023-07-18,Андрей,62,10,0,4,1,0,0,9,0
2023-07-19,Андрей,75,20,1,4,2,1,2,9,0
2023-07-20,Андрей,65,12,-1,4,2,1,0,8,0
2023-07-21,Андрей,57,23,0,3,1,1,2,8,0
2023-07-22,Андрей,62,15,1,1,2,1,1,8,0
2023-07-23,Андрей,55,25,0,2,3,0,0,8,0
2023-07-24,Андрей,64,14,1,4,4,-1,1,11,1
2023-07-25,Андрей,76,27,1,4,3,1,1,8,0
2023-07-26,Андрей,51,22,1,2,2,1,2,12,0
2023-07-27,Андрей,63,27,1,2,1,0,0,6,0
2023-07-28,Андрей,60,22,1,2,2,1,2,6,0
2023-07-29,Андрей,57,24,1,3,5,1,1,10,0
2023-07-30,Андрей,64,20,1,4,6,1,2,6,0
2023-07-31,Андрей,51,27,1,2,1,0,0,9,0
2023-08-01,Андрей,66,19,1,2,1,1,0,9,0
2023-08-02,Андрей,54,22,0,2,1,0,2,7,0
2023-08-03,Андрей,69,24,1,3,2,0,2,5,0
2023-08-04,Андрей,52,23,0,4,1,1,1,5,0
2023-08-05,Андрей,79,27,-1,4,1,1,0,7,0
2023-08-06,Андрей,50,14,1,1,3,1,0,5,0
2023-08-07,Андрей,59,23,1,4,2,1,0,9,0
2023-08-08,Андрей,62,29,-1,4,3,1,0,9,0
2023-08-09,Андрей,60,24,1,3,1,1,1,4,0
2023-08-10,Андрей,56,24,1,2,3,0,1,10,0
2023-08-11,Андрей,64,20,1,3,3,1,2,10,0
2023-08-12,Андрей,53,15,1,2,1,-1,2,6,0
2023-08-13,Андрей,61,21,1,4,5,1,1,11,1
2023-08-14,Андрей,50,21,1,1,4,-1,1,7,0
2023-08-15,Андрей,61,22,1,4,3,-1,2,7,0
2023-08-16,Андрей,52,13,1,3,1,1,1,4,0
2023-08-17,Андрей,59,18,0,4,5,1,1,6,0
2023-08-18,Андрей,62,10,1,3,3,1,0,7,1
2023-08-19,Андрей,50,22,0,4,1,0,2,9,0
2023-08-20,Андрей,69,13,0,2,1,1,1,7,0
2023-08-21,Андрей,75,27,0,2,2,1,2,8,0
2023-08-22,Андрей,53,23,1,3,5,1,0,8,0
2023-08-23,Андрей,79,26,0,1,1,1,0,9,0
2023-08-24,Андрей,61,18,1,2,1,1,1,9,0
2023-08-25,Андрей,53,28,1,2,1,1,0,9,0
2023-08-26,Андрей,62,22,0,4,3,0,0,7,0
2023-08-27,Андрей,59,27,1,2,4,1,2,7,0
2023-08-28,Андрей,51,24,1,2,1,1,0,7,0
2023-08-29,Андрей,79,14,0,3,5,1,1,6,0
2023-08-30,Андрей,77,20,1,3,6,0,0,9,0
2023-08-31,Андрей,58,11,-1,1,1,1,2,6,0
2023-09-01,Андрей,65,23,1,3,4,0,1,9,0
2023-09-02,Андрей,71,17,0,4,1,1,0,7,0
2023-09-03,Андрей,58,13,1,3,4,-1,2,9,0
2023-09-04,Андрей,61,29,1,2,3,1,2,8,0
2023-09-05,Андрей,76,26,1,1,1,0,0,9,0
2023-09-06,Андрей,62,18,1,4,6,1,0,11,0
2023-09-07,Андрей,64,25,1,1,2,1,1,7,0
2023-09-08,Андрей,77,14,0,3,3,1,0,4,0
2023-09-09,Андрей,64,18,0,1,1,-1,1,7,0
2023-09-10,Андрей,53,27,0,1,1,1,1,10,0
2023-09-11,Андрей,50,28,1,4,4,1,1,6,0
2023-09-12,Андрей,76,18,0,4,4,0,1,8,0
2023-09-13,Андрей,58,29,1,4,6,-1,2,11,0
2023-09-14,Андрей,52,11,1,1,1,1,1,7,0
2023-09-15,Андрей,60,23,1,4,6,1,1,7,1
2023-09-16,Андрей,61,12,1,1,1,1,2,7,0
2023-09-17,Андрей,74,24,1,1,5,1,0,6,1
2023-09-18,Андрей,71,12,0,4,4,1,0,9,0
2023-09-19,Андрей,61,24,0,4,4,1,2,8,0
2023-09-20,Андрей,53,19,1,2,4,1,0,6,0
2023-09-21,Андрей,77,12,1,4,2,1,1,10,0
2023-09-22,Андрей,68,11,1,1,1,1,2,9,0
2023-09-23,Андрей,69,17,0,4,3,1,1,9,0
2023-09-24,Андрей,73,22,1,2,1,1,2,8,0
2023-09-25,Андрей,75,11,-1,4,7,1,2,6,0
2023-09-26,Андрей,63,21,1,1,6,1,2,6,0
2023-09-27,Андрей,56,27,1,3,3,1,1,6,0
2023-09-28,Андрей,56,28,1,3,4,1,0,8,0
2023-09-29,Андрей,62,12,1,1,1,1,2,9,1
2023-09-30,Андрей,53,29,1,3,4,1,2,8,0
2023-10-01,Андрей,63,19,0,1,1,0,2,10,0
2023-10-02,Андрей,68,14,0,3,5,1,1,6,0
2023-10-03,Андрей,73,12,-1,4,5,0,2,8,0
2023-10-04,Андрей,74,26,-1,4,3,0,1,8,0
2023-10-05,Андрей,70,13,1,4,5,1,2,7,0
2023-10-06,Андрей,50,15,0,3,3,1,2,9,0
2023-10-07,Андрей,63,12,1,1,1,1,2,5,0
2023-10-08,Андрей,79,21,-1,2,2,0,0,6,0
2023-10-09,Андрей,56,28,1,2,1,1,1,8,0
2023-10-10,Андрей,77,12,1,3,5,1,0,8,0
2023-10-11,Андрей,71,24,1,2,3,1,0,8,0
2023-10-12,Андрей,72,28,1,3,3,0,2,8,0
2023-10-13,Андрей,56,27,0,3,2,1,1,9,0
2023-10-14,Андрей,77,26,0,4,2,0,0,7,0
2023-10-15,Андрей,73,22,1,4,5,0,1,5,0
2023-10-16,Андрей,51,28,1,1,2,1,0,6,0
2023-10-17,Андрей,66,13,1,4,2,1,2,7,1
2023-10-18,Андрей,76,13,1,2,1,0,2,9,0
2023-10-19,Андрей,78,13,1,2,2,1,0,9,1
2023-10-20,Андрей,66,22,1,2,3,0,1,7,0
2023-10-21,Андрей,71,22,1,4,6,1,0,10,0
2023-10-22,Андрей,76,20,1,3,2,1,1,8,0
2023-10-23,Андрей,69,13,0,2,3,1,0,2,0
2023-10-24,Андрей,69,16,0,4,6,1,2,8,0
2023-10-25,Андрей,62,18,1,1,2,1,2,9,0
2023-10-26,Андрей,56,14,1,2,2,1,0,11,0
2023-10-27,Андрей,53,26,-1,1,1,1,2,8,0
2023-10-28,Андрей,79,11,0,1,4,1,1,5,0
2023-10-29,Андрей,54,23,0,2,1,0,2,7,1
2023-10-30,Андрей,66,23,-1,3,1,-1,1,6,0
2023-10-31,Андрей,63,26,1,2,1,-1,1,7,0
2023-11-01,Андрей,61,25,1,4,4,1,1,8,0
2023-11-02,Андрей,69,13,1,3,2,0,0,6,0
2023-11-03,Андрей,69,27,1,4,7,1,2,6,0
2023-11-04,Андрей,65,16,0,3,4,1,0,9,0
2023-11-05,Андрей,52,21,1,4,4,1,2,6,0
2023-11-06,Андрей,54,29,0,2,2,1,0,9,1
2023-11-07,Андрей,53,25,1,2,1,1,2,6,0
2023-11-08,Андрей,70,11,1,1,1,1,2,9,0
2023-11-09,Андрей,76,12,1,3,6,1,0,4,0
2023-11-10,Андрей,75,26,1,3,1,1,1,6,0
2023-11-11,Андрей,62,28,-1,2,1,1,0,5,0
2023-11-12,Андрей,68,16,1,4,6,0,0,6,0
2023-11-13,Андрей,56,10,1,3,4,1,1,6,0
2023-11-14,Андрей,75,23,-1,3,6,1,0,9,0
2023-11-15,Андрей,67,28,1,3,1,-1,0,4,1
2023-11-16,Андрей,79,21,1,3,3,1,1,5,0
2023-11-17,Андрей,62,26,1,1,2,-1,0,10,0
2023-11-18,Андрей,70,11,-1,1,1,1,0,6,0
2023-11-19,Андрей,62,14,1,1,1,1,2,11,0
2023-11-20,Андрей,79,22,1,2,2,1,1,7,0
2023-11-21,Андрей,60,23,0,3,1,0,1,5,0
2023-11-22,Андрей,53,11,1,1,3,1,0,12,1
2023-11-23,Андрей,52,16,1,4,2,1,1,8,0
2023-11-24,Андрей,67,14,-1,3,3,1,2,9,0
2023-11-25,Андрей,56,23,1,1,1,1,1,6,0
2023-11-26,Андрей,63,20,1,4,6,0,1,6,0
2023-11-27,Андрей,61,20,1,1,1,1,0,8,0
2023-11-28,Андрей,51,29,1,1,1,1,0,8,0
2023-11-29,Андрей,52,25,1,4,5,1,0,7,0
2023-11-30,Андрей,55,14,1,1,1,0,2,8,0
2023-12-01,Андрей,59,18,1,2,1,0,1,8,0
2023-12-02,Андрей,58,15,1,4,5,-1,2,8,0
2023-12-03,Андрей,66,27,1,1,3,0,1,9,0
2023-12-04,Андрей,50,18,1,4,4,1,0,7,0
2023-12-05,Андрей,72,26,1,4,5,1,2,4,0
2023-12-06,Андрей,51,11,0,4,6,-1,0,8,1
2023-12-07,Андрей,76,14,1,1,1,-1,0,8,0
2023-12-08,Андрей,58,27,0,3,4,1,1,3,0
2023-12-09,Андрей,63,27,1,4,3,1,1,7,0
2023-12-10,Андрей,60,25,-1,1,1,0,1,7,0
2023-12-11,Андрей,50,14,1,2,2,1,1,10,0
2023-12-12,Андрей,69,21,0,2,1,1,2,7,0
2023-12-13,Андрей,68,12,1,3,3,0,0,8,0
2023-12-14,Андрей,51,15,1,1,3,1,1,7,0
2023-12-15,Андрей,75,20,0,4,3,1,2,6,1
2023-12-16,Андрей,72,23,1,1,1,1,0,7,0
2023-12-17,Андрей,68,11,1,4,7,1,0,8,1
2023-12-18,Андрей,75,29,0,2,1,1,2,8,1
2023-12-19,Андрей,60,28,1,4,3,1,1,9,0
2023-12-20,Андрей,68,16,1,3,1,1,1,3,0
2023-12-21,Андрей,79,16,1,1,1,1,1,5,0
2023-12-22,Андрей,79,25,0,1,4,1,2,7,1
2023-12-23,Андрей,56,21,1,4,5,1,2,6,0
2023-12-24,Андрей,66,23,1,4,3,1,0,6,0
2023-12-25,Андрей,59,10,1,2,2,0,1,9,0
2023-12-26,Андрей,79,11,1,4,6,1,0,6,0
2023-12-27,Андрей,58,22,1,1,1,0,1,10,0
2023-12-28,Андрей,71,16,0,4,5,0,1,6,0
2023-12-29,Андрей,60,12,0,1,1,1,1,9,0
2023-12-30,Андрей,59,15,-1,1,1,1,1,11,0
2023-12-31,Андрей,65,29,1,1,1,0,1,9,0
2023-01-01,Егор,62,29,0,3,1,-1,0,6,0
2023-01-02,Егор,51,22,1,1,1,-1,2,8,0
2023-01-03,Егор,63,13,1,1,1,0,0,7,0
2023-01-04,Егор,75,15,1,2,1,1,0,6,0
2023-01-05,Егор,72,28,1,3,3,-1,1,6,0
2023-01-06,Егор,76,16,1,4,5,1,2,8,0
2023-01-07,Егор,58,10,1,1,1,0,0,7,0
2023-01-08,Егор,72,17,0,2,4,1,2,7,0
2023-01-09,Егор,75,29,-1,4,3,1,2,8,0
2023-01-10,Егор,65,29,0,4,2,1,2,8,0
2023-01-11,Егор,72,26,0,2,5,1,0,11,0
2023-01-12,Егор,66,27,1,4,3,1,1,6,0
2023-01-13,Егор,78,27,-1,2,1,0,1,5,0
2023-01-14,Егор,51,28,1,4,3,1,1,5,0
2023-01-15,Егор,79,26,1,2,1,-1,2,10,0
2023-01-16,Егор,66,15,1,3,1,1,1,6,0
2023-01-17,Егор,68,23,1,1,1,0,1,5,0
2023-01-18,Егор,76,27,1,2,2,1,1,8,0
2023-01-19,Егор,59,14,1,1,1,0,0,6,0
2023-01-20,Егор,57,27,1,2,7,0,1,5,0
2023-01-21,Егор,66,20,1,2,1,-1,1,7,0
2023-01-22,Егор,50,24,0,3,3,1,1,12,0
2023-01-23,Егор,75,11,-1,3,3,1,2,7,0
2023-01-24,Егор,68,25,1,4,2,1,1,9,1
2023-01-25,Егор,73,13,0,1,1,1,2,7,0
2023-01-26,Егор,79,22,0,1,1,-1,1,7,0
2023-01-27,Егор,61,27,1,4,4,0,1,7,1
2023-01-28,Егор,62,14,1,3,4,1,1,7,0
2023-01-29,Егор,64,16,1,4,2,0,1,8,0
2023-01-30,Егор,75,13,0,4,2,-1,2,7,0
2023-01-31,Егор,56,27,1,4,3,0,0,8,0
2023-02-01,Егор,70,20,0,4,5,0,0,8,0
2023-02-02,Егор,77,22,1,2,1,1,2,7,0
2023-02-03,Егор,67,14,1,1,4,1,2,9,0
2023-02-04,Егор,60,24,1,2,1,1,0,7,0
2023-02-05,Егор,52,11,0,3,7,1,0,3,0
2023-02-06,Егор,60,15,1,1,1,1,1,6,1
2023-02-07,Егор,72,18,1,3,1,1,1,5,0
2023-02-08,Егор,66,29,1,3,3,1,1,3,0
2023-02-09,Егор,72,16,1,3,3,1,2,7,0
2023-02-10,Егор,78,10,0,1,1,1,2,8,0
2023-02-11,Егор,69,23,1,3,2,0,1,11,0
2023-02-12,Егор,52,29,1,1,1,1,2,8,1
2023-02-13,Егор,66,19,1,2,1,-1,2,8,0
2023-02-14,Егор,59,23,1,4,2,1,1,5,0
2023-02-15,Егор,52,24,1,1,4,0,0,7,0
2023-02-16,Егор,77,14,-1,2,3,1,2,8,0
2023-02-17,Егор,73,23,-1,3,1,-1,1,6,0
2023-02-18,Егор,59,23,1,4,5,1,0,7,0
2023-02-19,Егор,50,16,-1,4,4,-1,1,4,0
2023-02-20,Егор,75,22,-1,1,3,1,1,3,0
2023-02-21,Егор,77,21,1,1,1,1,1,7,0
2023-02-22,Егор,61,18,1,1,1,1,0,7,0
2023-02-23,Егор,74,13,1,2,2,1,0,5,0
2023-02-24,Егор,71,12,1,2,1,1,1,3,0
2023-02-25,Егор,76,23,1,3,1,0,0,8,0
2023-02-26,Егор,52,18,-1,2,2,1,0,4,0
2023-02-27,Егор,73,11,-1,3,6,1,0,9,0
2023-02-28,Егор,61,17,1,2,1,1,0,7,0
2023-03-01,Егор,61,20,1,4,2,0,1,3,0
2023-03-02,Егор,57,25,1,2,1,0,2,6,0
2023-03-03,Егор,67,20,1,4,5,1,0,6,0
2023-03-04,Егор,54,16,0,3,2,1,0,7,0
2023-03-05,Егор,66,26,0,1,1,1,1,6,0
2023-03-06,Егор,65,15,0,4,3,0,1,8,1
2023-03-07,Егор,62,29,0,4,6,1,0,9,0
2023-03-08,Егор,53,22,1,2,3,1,2,5,0
2023-03-09,Егор,60,12,0,3,2,0,1,7,0
2023-03-10,Егор,67,15,0,3,1,1,1,7,0
2023-03-11,Егор,76,14,-1,3,3,1,0,10,1
2023-03-12,Егор,58,26,0,4,1,1,2,13,0
2023-03-13,Егор,64,21,0,1,2,1,1,8,0
2023-03-14,Егор,54,15,0,3,2,1,0,10,1
2023-03-15,Егор,57,13,1,1,1,0,0,9,0
2023-03-16,Егор,76,26,1,4,6,-1,0,5,1
2023-03-17,Егор,53,15,1,4,1,1,2,7,0
2023-03-18,Егор,53,29,-1,4,1,-1,2,9,1
2023-03-19,Егор,56,15,1,2,1,1,1,5,0
2023-03-20,Егор,70,22,1,3,5,1,2,7,0
2023-03-21,Егор,61,18,1,1,2,1,0,7,0
2023-03-22,Егор,55,21,1,1,1,-1,2,6,0
2023-03-23,Егор,54,26,1,2,1,1,1,10,0
2023-03-24,Егор,56,15,1,1,3,0,2,4,0
2023-03-25,Егор,73,14,1,4,4,1,2,6,0
2023-03-26,Егор,76,26,1,1,1,1,0,4,1
2023-03-27,Егор,71,22,1,2,1,1,0,11,0
2023-03-28,Егор,73,24,0,3,2,0,0,9,0
2023-03-29,Егор,69,20,0,3,6,1,0,8,1
2023-03-30,Егор,60,14,0,4,5,1,0,7,0
2023-03-31,Егор,58,10,1,4,3,1,2,11,0
2023-04-01,Егор,78,20,1,3,1,0,2,7,1
2023-04-02,Егор,71,28,1,2,1,0,0,4,1
2023-04-03,Егор,58,27,1,3,1,-1,1,5,0
2023-04-04,Егор,67,28,1,1,1,-1,2,6,0
2023-04-05,Егор,50,18,1,1,3,1,0,8,0
2023-04-06,Егор,61,13,1,4,3,1,1,1,0
2023-04-07,Егор,68,18,1,1,2,1,2,9,0
2023-04-08,Егор,54,26,1,1,1,0,2,9,0
2023-04-09,Егор,64,10,1,3,1,-1,0,6,0
2023-04-10,Егор,75,18,1,3,2,1,2,3,0
2023-04-11,Егор,52,21,-1,1,6,0,0,10,0
2023-04-12,Егор,58,17,-1,3,3,1,2,4,1
2023-04-13,Егор,78,25,1,4,1,1,2,8,0
2023-04-14,Егор,51,16,-1,3,1,1,2,4,1
2023-04-15,Егор,55,29,0,3,1,0,2,8,0
2023-04-16,Егор,65,28,-1,4,1,1,0,8,0
2023-04-17,Егор,61,28,1,4,5,1,0,7,0
2023-04-18,Егор,76,20,1,3,2,1,1,8,0
2023-04-19,Егор,78,11,1,4,3,1,0,8,0
2023-04-20,Егор,76,26,1,3,6,1,1,6,0
2023-04-21,Егор,52,24,0,4,3,1,2,10,0
2023-04-22,Егор,77,11,-1,2,1,0,2,13,0
2023-04-23,Егор,77,16,1,3,6,-1,2,9,0
2023-04-24,Егор,71,18,0,4,4,1,1,13,0
2023-04-25,Егор,65,19,-1,3,6,1,2,5,0
2023-04-26,Егор,76,27,-1,3,3,1,1,7,0
2023-04-27,Егор,52,22,1,3,4,1,0,8,0
2023-04-28,Егор,51,22,-1,2,1,1,2,8,0
2023-04-29,Егор,63,22,1,4,6,1,2,6,0
2023-04-30,Егор,72,13,1,2,1,1,0,10,0
2023-05-01,Егор,76,26,-1,3,3,1,2,8,0
2023-05-02,Егор,58,14,1,4,5,-1,2,5,0
2023-05-03,Егор,53,11,0,2,1,1,1,7,0
2023-05-04,Егор,50,15,1,2,1,1,1,10,0
2023-05-05,Егор,62,11,1,1,3,0,1,4,0
2023-05-06,Егор,52,10,1,2,1,1,2,10,0
2023-05-07,Егор,55,22,1,2,1,1,1,7,0
2023-05-08,Егор,56,27,1,3,1,1,2,8,0
2023-05-09,Егор,58,26,1,3,1,1,2,7,0
2023-05-10,Егор,68,12,1,2,1,1,1,7,0
2023-05-11,Егор,77,16,0,1,1,1,0,8,0
2023-05-12,Егор,77,10,1,4,4,0,2,6,0
2023-05-13,Егор,69,22,-1,1,2,1,1,4,0
2023-05-14,Егор,55,15,1,3,3,1,1,7,0
2023-05-15,Егор,71,14,1,1,2,1,1,7,0
2023-05-16,Егор,76,20,0,3,1,1,1,5,0
2023-05-17,Егор,69,22,1,1,1,1,1,4,0
2023-05-18,Егор,50,17,1,3,3,0,1,6,0
2023-05-19,Егор,67,12,1,3,1,-1,2,8,0
2023-05-20,Егор,67,22,1,3,1,1,2,9,1
2023-05-21,Егор,76,21,1,3,2,0,2,8,0
2023-05-22,Егор,72,10,1,3,3,1,2,9,0
2023-05-23,Егор,74,10,-1,4,3,1,1,5,0
2023-05-24,Егор,61,10,1,1,2,0,0,3,0
2023-05-25,Егор,70,19,0,1,2,1,0,8,0
2023-05-26,Егор,66,15,1,4,5,1,2,11,0
2023-05-27,Егор,69,14,1,2,2,1,1,8,0
2023-05-28,Егор,50,29,1,4,6,0,2,6,0
2023-05-29,Егор,71,16,-1,1,1,1,0,9,0
2023-05-30,Егор,58,27,-1,3,2,0,2,8,0
2023-05-31,Егор,78,17,1,4,3,0,2,9,1
2023-06-01,Егор,70,17,1,4,5,1,0,6,0
2023-06-02,Егор,52,14,1,4,6,-1,2,5,0
2023-06-03,Егор,54,13,0,1,1,1,2,8,0
2023-06-04,Егор,71,24,-1,1,4,-1,1,9,0
2023-06-05,Егор,63,20,0,1,1,1,2,7,0
2023-06-06,Егор,53,18,1,4,2,1,2,7,0
2023-06-07,Егор,51,24,1,2,2,0,0,6,0
2023-06-08,Егор,56,23,0,2,4,1,0,4,0
2023-06-09,Егор,51,27,0,3,4,1,2,11,0
2023-06-10,Егор,66,19,1,1,1,1,0,7,0
2023-06-11,Егор,62,19,1,1,1,0,0,11,0
2023-06-12,Егор,55,27,1,3,7,1,0,8,0
2023-06-13,Егор,52,19,1,1,1,1,1,8,0
2023-06-14,Егор,64,14,1,4,6,-1,0,5,0
2023-06-15,Егор,63,20,0,2,2,1,0,8,0
2023-06-16,Егор,53,21,0,1,1,1,0,8,0
2023-06-17,Егор,76,28,1,2,1,1,0,7,0
2023-06-18,Егор,51,11,1,1,1,-1,2,7,1
2023-06-19,Егор,55,23,1,4,1,0,2,8,0
2023-06-20,Егор,79,21,0,4,1,1,2,9,1
2023-06-21,Егор,57,13,1,1,3,1,0,6,0
2023-06-22,Егор,78,16,1,2,2,1,2,11,0
2023-06-23,Егор,58,27,-1,2,1,1,1,6,0
2023-06-24,Егор,53,10,-1,4,2,1,0,12,0
2023-06-25,Егор,76,27,1,4,3,1,2,6,0
2023-06-26,Егор,59,19,1,3,5,1,0,8,0
2023-06-27,Егор,59,16,1,3,3,1,0,10,0
2023-06-28,Егор,66,27,1,2,3,1,1,8,0
2023-06-29,Егор,75,23,1,2,1,-1,0,8,0
2023-06-30,Егор,55,22,1,2,1,0,0,10,0
2023-07-01,Егор,54,29,-1,3,1,1,1,9,1
2023-07-02,Егор,54,14,1,3,2,1,2,4,0
2023-07-03,Егор,75,28,1,2,3,1,0,6,1
2023-07-04,Егор,76,10,1,1,3,1,0,9,0
2023-07-05,Егор,61,15,1,3,3,1,1,8,0
2023-07-06,Егор,72,10,1,4,6,1,0,8,0
2023-07-07,Егор,69,28,1,1,1,0,2,5,1
2023-07-08,Егор,58,16,0,3,1,1,0,9,0
2023-07-09,Егор,71,25,1,1,2,1,0,9,0
2023-07-10,Егор,64,28,1,2,6,-1,0,8,0
2023-07-11,Егор,66,29,1,4,4,-1,0,9,0
2023-07-12,Егор,77,22,-1,4,1,1,0,7,0
2023-07-13,Егор,75,17,1,3,1,0,0,6,0
2023-07-14,Егор,68,24,1,1,1,1,1,9,1
2023-07-15,Егор,64,23,1,4,3,1,1,5,1
2023-07-16,Егор,54,26,-1,3,1,1,1,8,0
2023-07-17,Егор,55,18,0,2,1,1,1,10,0
2023-07-18,Егор,72,23,1,1,1,0,1,10,0
2023-07-19,Егор,74,24,1,4,6,-1,1,6,0
2023-07-20,Егор,74,15,1,4,5,-1,2,5,0
2023-07-21,Егор,53,14,1,2,1,1,2,7,0
2023-07-22,Егор,75,14,1,2,1,1,2,8,0
2023-07-23,Егор,79,19,1,2,1,1,0,4,0
2023-07-24,Егор,57,13,1,4,4,1,1,9,0
2023-07-25,Егор,53,10,0,3,3,1,0,11,0
